                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2683,                  2.226,                 1.1557,                      1,                0.32649,                0.79493,                0.49478,                 1.2613,                 3.2508,                 1.2751,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.3147,                  1.556,                 1.1813,                0.82673,                0.66102,                0.76854,                0.46949,                 1.5237,                 2.5646,                 1.6155,              0.0012966,              0.0012966,              0.0012966
                      3,                 1.3274,                 1.3314,                 1.2025,                0.86542,                0.72662,                0.80246,                0.46278,                 1.6085,                 2.4573,                 1.5883,              0.0019106,              0.0019106,              0.0019106
                      4,                 1.3741,                 1.2094,                 1.2171,                 0.8218,                0.79096,                0.83311,                0.50187,                 1.4858,                 1.4585,                 1.4269,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3481,                   1.11,                 1.2038,                0.84405,                0.73385,                0.78461,                0.48569,                 1.3654,                 1.5247,                 1.3568,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.3535,                 1.0405,                 1.2062,                0.90368,                0.70621,                0.79837,                0.46921,                 1.5523,                 1.4793,                 1.4552,               0.001802,               0.001802,               0.001802
                      7,                 1.3018,                0.94668,                 1.1903,                0.91687,                0.81007,                0.88931,                0.55688,                 1.4009,                 1.3838,                 1.3745,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.2788,                0.90423,                 1.1943,                0.91807,                0.82302,                0.89594,                0.55847,                 1.3779,                0.98868,                 1.2906,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2626,                0.88092,                 1.1513,                0.79191,                0.83853,                0.80666,                0.49284,                 1.4547,                 1.4158,                  1.438,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.2559,                0.84777,                 1.1603,                0.92375,                0.79096,                0.85731,                0.56693,                 1.2719,                0.99578,                 1.2752,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.2404,                 0.8297,                 1.1641,                0.92722,                0.82486,                0.90506,                0.58698,                 1.2934,                0.89951,                 1.2567,               0.001604,               0.001604,               0.001604
                     12,                 1.2451,                0.79568,                 1.1749,                0.94823,                0.85311,                0.90115,                 0.6126,                 1.1971,                 0.8462,                  1.231,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.2158,                  0.765,                 1.1408,                0.94318,                0.83616,                0.90749,                0.60518,                 1.2264,                0.81592,                 1.2511,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.2388,                0.75115,                 1.1526,                0.96112,                0.83802,                0.91531,                0.62744,                 1.2128,                0.78149,                 1.1995,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.2263,                  0.749,                 1.1311,                0.94564,                0.85311,                0.91491,                0.60323,                 1.1732,                0.74343,                 1.1862,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1987,                0.72858,                 1.1232,                0.92645,                0.85876,                 0.9089,                0.60007,                 1.2666,                 0.9578,                 1.2124,               0.001406,               0.001406,               0.001406
                     17,                 1.1826,                0.73649,                 1.1204,                0.95596,                0.85849,                0.91979,                0.63456,                 1.1349,                0.74967,                 1.1595,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.1805,                0.71868,                 1.1073,                0.97425,                0.85497,                0.91889,                 0.6231,                  1.199,                0.90728,                  1.202,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.1612,                0.67307,                 1.1043,                0.98681,                0.84507,                0.92958,                0.63922,                 1.2062,                0.75213,                 1.1899,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.1441,                0.65938,                 1.0922,                0.95677,                 0.8753,                 0.9251,                0.62502,                 1.1634,                 0.7346,                 1.1469,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.1628,                0.66871,                 1.0945,                0.94311,                0.87571,                 0.9167,                0.62141,                 1.1611,                0.67084,                  1.155,               0.001208,               0.001208,               0.001208
                     22,                 1.1377,                0.64851,                 1.0895,                0.98628,                0.86441,                0.93031,                0.63462,                 1.1537,                0.70813,                 1.1674,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.1397,                0.64075,                 1.0848,                0.98062,                0.85782,                0.92496,                0.63916,                 1.1499,                0.67674,                 1.1569,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.1611,                 0.6568,                 1.0903,                0.94045,                0.89222,                0.92388,                0.63896,                 1.1563,                0.66009,                 1.1474,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.1233,                0.62133,                 1.0926,                0.91618,                0.86457,                0.89737,                0.63048,                 1.1823,                0.68832,                 1.1754,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.1322,                  0.651,                 1.0906,                0.92218,                 0.9096,                0.91539,                0.64885,                 1.0497,                0.73251,                 1.1057,                0.00101,                0.00101,                0.00101
                     27,                 1.0978,                 0.6069,                 1.0762,                0.96242,                0.86809,                0.92169,                 0.6675,                 1.1064,                0.66318,                 1.1044,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1091,                0.62101,                 1.0785,                0.93065,                0.91525,                0.92723,                0.66664,                 1.0719,                0.63779,                  1.129,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1009,                0.62357,                 1.0801,                0.97416,                0.85195,                0.91932,                0.66782,                 1.0604,                0.66302,                 1.1051,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.0821,                0.60114,                 1.0662,                0.95631,                0.87571,                0.93611,                0.65821,                 1.1357,                0.64223,                 1.1367,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.0641,                0.59109,                 1.0508,                0.95178,                0.89208,                0.93522,                0.65895,                  1.101,                0.58115,                 1.1051,               0.000812,               0.000812,               0.000812
                     32,                 1.0629,                0.58655,                 1.0524,                0.95049,                0.86763,                0.94112,                0.66444,                 1.1351,                0.61631,                  1.099,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.0373,                0.55806,                 1.0556,                0.95176,                 0.8918,                0.94543,                0.67379,                 1.1411,                0.59031,                 1.1274,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.0324,                 0.5574,                 1.0619,                0.93654,                 0.9171,                0.94592,                0.69866,                 1.1153,                0.57654,                 1.1051,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.0527,                0.56706,                 1.0548,                0.96049,                0.87006,                 0.9393,                0.69635,                 1.0997,                0.58685,                 1.1322,              0.0006536,              0.0006536,              0.0006536
                     36,                  1.044,                0.54239,                 1.0518,                 0.9694,                0.87571,                0.93688,                0.67843,                 1.1099,                0.59324,                 1.1336,               0.000614,               0.000614,               0.000614
                     37,                 1.0256,                0.54017,                 1.0452,                0.95125,                 0.9096,                0.93966,                0.67462,                 1.1071,                0.63354,                 1.0992,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0149,                0.55575,                  1.044,                0.98169,                0.90854,                0.94139,                0.67883,                 1.0796,                0.60352,                 1.0801,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0129,                0.53574,                 1.0325,                0.93163,                0.92382,                0.93533,                0.67039,                 1.0894,                0.59512,                 1.0875,              0.0004952,              0.0004952,              0.0004952
                     40,                  1.006,                0.52116,                 1.0308,                0.90946,                0.90798,                0.94231,                0.68144,                  1.064,                0.57776,                  1.093,              0.0004556,              0.0004556,              0.0004556
                     41,                0.95939,                0.48111,                 1.0409,                0.98096,                0.87344,                0.94821,                0.70339,                 1.0496,                0.54395,                 1.0739,               0.000416,               0.000416,               0.000416
                     42,                0.94482,                0.46495,                  1.025,                0.97012,                0.88701,                0.94839,                0.68635,                  1.092,                0.55642,                 1.0991,              0.0003764,              0.0003764,              0.0003764
                     43,                0.94234,                0.46032,                  1.023,                0.96973,                0.88136,                0.94631,                0.69259,                 1.0748,                0.53979,                 1.1128,              0.0003368,              0.0003368,              0.0003368
                     44,                0.91602,                0.45214,                 1.0101,                 0.9877,                 0.9071,                0.95249,                0.69401,                 1.0527,                0.56306,                 1.0847,              0.0002972,              0.0002972,              0.0002972
                     45,                0.91828,                0.45606,                 1.0095,                0.98125,                 0.8869,                0.94951,                0.69271,                 1.0469,                0.54733,                 1.0856,              0.0002576,              0.0002576,              0.0002576
                     46,                0.90689,                 0.4392,                 1.0156,                0.97542,                0.89695,                0.94958,                0.69428,                 1.0446,                0.54027,                 1.0772,               0.000218,               0.000218,               0.000218
                     47,                0.87709,                0.42512,                 1.0013,                0.97723,                0.88701,                0.94791,                 0.6926,                 1.0432,                 0.5475,                 1.0674,              0.0001784,              0.0001784,              0.0001784
                     48,                0.89979,                0.42814,                 1.0024,                0.97881,                0.89266,                0.94571,                0.69352,                 1.0328,                0.57513,                 1.0607,              0.0001388,              0.0001388,              0.0001388
                     49,                0.88949,                0.42046,                0.99911,                0.97525,                 0.8904,                0.94467,                0.68875,                 1.0208,                0.55412,                 1.0512,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.87317,                0.41538,                0.98869,                0.97694,                0.89831,                 0.9457,                0.68862,                 1.0333,                0.55416,                 1.0565,               5.96e-05,               5.96e-05,               5.96e-05
